weight_reading_1,weight_reading_2,pressure_reading_1,pressure_reading_2,force_reading_1,force_reading_2,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y,p7_x,p7_y,p8_x,p8_y,p9_x,p9_y,p10_x,p10_y,p11_x,p11_y,p12_x,p12_y,p13_x,p13_y,p14_x,p14_y,p15_x,p15_y,p16_x,p16_y,label
113.4,119,32,2.4,296,296.5,0,0,0.47726813,0.08564173,0.8135269,0.3200875,0.81676555,0.6866096,0.48741397,0.92977536,0.15992677,0.7036157,0.45908165,0.230022,0.44848442,0.3835986,0.4426097,0.5135677,0.4521662,0.64250064,0.46829402,0.78753036,0.51032877,0.7993395,0.5248847,0.6480453,0.53252965,0.5207399,0.5218749,0.39283094,0.5021757,0.24389856,banana
115.9,115.6,32.6,2.3,311.2,310.6,0,0,0.4771716,0.083896905,0.81366533,0.3206175,0.8167431,0.68510175,0.48676443,0.9284592,0.15904921,0.70532095,0.45854363,0.22958435,0.4476605,0.3832734,0.4417004,0.51309407,0.4512244,0.6419066,0.46734565,0.7867825,0.5096072,0.7987745,0.5240954,0.64759976,0.5318388,0.5201693,0.52138215,0.39214537,0.5018719,0.24320614,banana
114.5,116.5,37,2.9,323.4,322.3,0,0,0.4774822,0.08088327,0.81365925,0.31987226,0.8164551,0.6819589,0.48659638,0.9301789,0.15848602,0.7080907,0.4582225,0.22921838,0.44659746,0.38335663,0.44036186,0.5129998,0.44999626,0.6416584,0.4665535,0.7868604,0.5092476,0.79868394,0.52394605,0.6470588,0.5318561,0.5195029,0.5215194,0.39143074,0.5020464,0.24238756,banana
114.5,118.8,38,3.4,307,308.3,0,0,0.47843602,0.077098355,0.81465197,0.31951296,0.81732893,0.6846094,0.48683894,0.9272672,0.15822576,0.7015134,0.45903683,0.22685039,0.44731256,0.3813983,0.4410649,0.5112087,0.4507299,0.6398392,0.4671945,0.7849521,0.5099604,0.7967911,0.52488464,0.64570606,0.53291494,0.51847345,0.5225927,0.39029226,0.50313085,0.24070424,banana
116.7,115.6,30.8,3.2,323.1,323.3,0,0,0.4768077,0.08159501,0.81219184,0.32077554,0.8166309,0.69159055,0.48707262,0.9266927,0.16042896,0.6928199,0.4582968,0.22739585,0.44777653,0.38143346,0.44209746,0.51127094,0.45205268,0.63991004,0.46831718,0.7848572,0.5106297,0.7970049,0.5251649,0.6466916,0.5326035,0.5198344,0.5217909,0.39174297,0.5020264,0.24228449,banana
108.4,125,61.7,13.9,257.2,258.6,0,0,0.47399488,0.0970922,0.8083282,0.33827555,0.8189596,0.68845844,0.49077645,0.907972,0.16757451,0.68492,0.45599312,0.22792128,0.44924113,0.37886584,0.44600075,0.509009,0.45649338,0.63792926,0.47179428,0.7801294,0.5120292,0.79623616,0.52154404,0.64906305,0.52648133,0.5216209,0.51528597,0.3921268,0.49723133,0.2435753,banana
120,113.2,48.9,6.7,298.8,299.8,0,0,0.47462964,0.091891766,0.8069318,0.33805946,0.8146585,0.68194455,0.49055833,0.92181987,0.16451599,0.7006747,0.45499027,0.23073372,0.44566965,0.38305023,0.44143933,0.5120896,0.4523336,0.6400166,0.46939963,0.78331953,0.5104839,0.79902107,0.52055657,0.6501431,0.5260096,0.52246875,0.51506203,0.39326483,0.49690247,0.24440254,banana
114.9,117.3,45.1,7.8,283.2,283.6,0,0,0.4758102,0.09351744,0.8076898,0.33480015,0.8115585,0.6714141,0.49024916,0.9279338,0.16062604,0.7303734,0.45455042,0.2345636,0.4431546,0.38754907,0.4378921,0.5163341,0.44829246,0.64393955,0.4662271,0.7873973,0.50783694,0.8027219,0.5174885,0.6521712,0.5235338,0.5232839,0.5134634,0.39384857,0.4962224,0.24539809,banana
118.7,113.5,53.8,12.9,275.1,274.5,0,0,0.47390738,0.100156866,0.8053221,0.33480138,0.81371105,0.684452,0.49091935,0.9146423,0.16934878,0.7073364,0.4552287,0.23051427,0.44740635,0.3821938,0.4436394,0.51181394,0.45420584,0.6405711,0.4703381,0.7837455,0.50991714,0.7996844,0.51858455,0.6512432,0.52347475,0.52249384,0.5129057,0.39266038,0.4956734,0.24478267,banana
112.6,117.6,50.1,11.6,282.3,279.6,0,0,0.47352666,0.10819528,0.80188,0.32989338,0.8103558,0.66923445,0.4934535,0.92275023,0.17098717,0.73816663,0.4535111,0.23569204,0.444382,0.38720253,0.4401812,0.5158576,0.45108676,0.64421695,0.4690204,0.78815323,0.50913924,0.80308473,0.51606923,0.6527553,0.5203958,0.5225114,0.5100899,0.392705,0.49362668,0.24669312,banana
